"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21286","TC025: Verify work package PDF download","webkit","Mon Nov 03 23:59:03 BOT 2025","passed","Mon Nov 03 23:59:24 BOT 2025","","work_packages\TC025.spec.ts","",""
"","10551","TC022: Verify failed work package creation with empty values","webkit","Mon Nov 03 23:58:59 BOT 2025","failed","Mon Nov 03 23:59:10 BOT 2025","","work_packages\TC022.spec.ts","",""
"","10742","TC009: Verify that a notification can be downloaded as a PDF","chromium","Mon Nov 03 23:56:54 BOT 2025","passed","Mon Nov 03 23:57:04 BOT 2025","","notifications\TC009.spec.ts","",""
"","11345","TC014 Verify error messages are displayed when recurring empty fields are submitted","chromium","Mon Nov 03 23:56:41 BOT 2025","passed","Mon Nov 03 23:56:53 BOT 2025","","meetings\TC014.spec.ts","",""
"","11522","TC010: Verify a comment can be posted in the activity of the notification","firefox","Mon Nov 03 23:57:45 BOT 2025","passed","Mon Nov 03 23:57:57 BOT 2025","","notifications\TC010.spec.ts","",""
"","13219","TC021: Verify work package creation with valid values from PACKAGE table","chromium","Mon Nov 03 23:57:11 BOT 2025","passed","Mon Nov 03 23:57:24 BOT 2025","","work_packages\TC021.spec.ts","",""
"","7741","TC019: Verify searching a non-existent project returns no matches","chromium","Mon Nov 03 23:57:05 BOT 2025","failed","Mon Nov 03 23:57:12 BOT 2025","","projects\TC019.spec.ts","",""
"","26065","TC002: Verify work package creation as Task with valid values","webkit","Mon Nov 03 23:58:56 BOT 2025","passed","Mon Nov 03 23:59:22 BOT 2025","","work_packages\TC002.spec.ts","",""
"","17168","TC006 Verify one-time meeting creation and deletion","webkit","Mon Nov 03 23:58:10 BOT 2025","failed","Mon Nov 03 23:58:27 BOT 2025","","meetings\TC006.spec.ts","",""
"","15705","TC005: Verify that project phase in a notification can be updated successfully","firefox","Mon Nov 03 23:57:43 BOT 2025","passed","Mon Nov 03 23:57:59 BOT 2025","Project Phase Notifications Tests","notifications\TC005.spec.ts","",""
"","5064","TC002: Verify work package creation as Task with valid values","chromium","Mon Nov 03 23:57:07 BOT 2025","failed","Mon Nov 03 23:57:12 BOT 2025","","work_packages\TC002.spec.ts","",""
"","8296","TC026: Verify creating a new project","firefox","Mon Nov 03 23:58:02 BOT 2025","failed","Mon Nov 03 23:58:11 BOT 2025","Projects - Create","projects\TC026.spec.ts","",""
"","8452","TC026: Verify creating a new project","webkit","Mon Nov 03 23:58:52 BOT 2025","failed","Mon Nov 03 23:59:00 BOT 2025","Projects - Create","projects\TC026.spec.ts","",""
"","6019","TC016: Verify that clicking on a project navigates to the project page","chromium","Mon Nov 03 23:56:59 BOT 2025","passed","Mon Nov 03 23:57:05 BOT 2025","","projects\TC016.spec.ts","",""
"","10972","TC013 Verify error messages are displayed when one-time empty fields are submitted","chromium","Mon Nov 03 23:56:41 BOT 2025","passed","Mon Nov 03 23:56:52 BOT 2025","","meetings\TC013.spec.ts","",""
"","11549","TC016: Verify that clicking on a project navigates to the project page","firefox","Mon Nov 03 23:57:54 BOT 2025","passed","Mon Nov 03 23:58:06 BOT 2025","","projects\TC016.spec.ts","",""
"","17651","TC025: Verify work package PDF download","chromium","Mon Nov 03 23:57:13 BOT 2025","passed","Mon Nov 03 23:57:31 BOT 2025","","work_packages\TC025.spec.ts","",""
"","9547","TC026: Verify creating a new project","chromium","Mon Nov 03 23:57:08 BOT 2025","passed","Mon Nov 03 23:57:18 BOT 2025","Projects - Create","projects\TC026.spec.ts","",""
"","30096","TC008 Verify cancel button works correctly in one-time meeting creation","webkit","Mon Nov 03 23:58:12 BOT 2025","broken","Mon Nov 03 23:58:42 BOT 2025","","meetings\TC008.spec.ts","",""
"","11464","TC009: Verify that a notification can be downloaded as a PDF","webkit","Mon Nov 03 23:58:30 BOT 2025","passed","Mon Nov 03 23:58:42 BOT 2025","","notifications\TC009.spec.ts","",""
"","28405","TC003: Verify that a tag in a notification can be updated successfully","chromium","Mon Nov 03 23:56:41 BOT 2025","passed","Mon Nov 03 23:57:10 BOT 2025","Tag Update and Cleanup (TC003)","notifications\TC003.spec.ts","",""
"","5251","TC002: Verify work package creation as Task with valid values","firefox","Mon Nov 03 23:58:03 BOT 2025","failed","Mon Nov 03 23:58:08 BOT 2025","","work_packages\TC002.spec.ts","",""
"","26631","TC003: Verify that a tag in a notification can be updated successfully","firefox","Mon Nov 03 23:57:36 BOT 2025","passed","Mon Nov 03 23:58:03 BOT 2025","Tag Update and Cleanup (TC003)","notifications\TC003.spec.ts","",""
"","10349","TC008 Verify cancel button works correctly in one-time meeting creation","firefox","Mon Nov 03 23:57:25 BOT 2025","failed","Mon Nov 03 23:57:35 BOT 2025","","meetings\TC008.spec.ts","",""
"","7653","TC018: Verify back navigation returns to projects list","chromium","Mon Nov 03 23:57:04 BOT 2025","failed","Mon Nov 03 23:57:12 BOT 2025","","projects\TC018.spec.ts","",""
"","11072","TC012 Verify cancel button works correctly in recurring meeting creation","chromium","Mon Nov 03 23:56:41 BOT 2025","failed","Mon Nov 03 23:56:52 BOT 2025","","meetings\TC012.spec.ts","",""
"","10630","TC018: Verify back navigation returns to projects list","webkit","Mon Nov 03 23:58:46 BOT 2025","passed","Mon Nov 03 23:58:57 BOT 2025","","projects\TC018.spec.ts","",""
"","10642","TC009: Verify that a notification can be downloaded as a PDF","firefox","Mon Nov 03 23:57:44 BOT 2025","passed","Mon Nov 03 23:57:54 BOT 2025","","notifications\TC009.spec.ts","",""
"","7834","TC017: Verify project search shows the matching project","chromium","Mon Nov 03 23:57:02 BOT 2025","failed","Mon Nov 03 23:57:10 BOT 2025","","projects\TC017.spec.ts","",""
"","60025","TC005: Verify that project phase in a notification can be updated successfully","chromium","Mon Nov 03 23:56:53 BOT 2025","broken","Mon Nov 03 23:57:53 BOT 2025","Project Phase Notifications Tests","notifications\TC005.spec.ts","",""
"","18138","TC004: Verify that priority in a notification can be updated successfully","chromium","Mon Nov 03 23:56:49 BOT 2025","failed","Mon Nov 03 23:57:07 BOT 2025","","notifications\TC004.spec.ts","",""
"","14583","TC004: Verify that priority in a notification can be updated successfully","firefox","Mon Nov 03 23:57:37 BOT 2025","failed","Mon Nov 03 23:57:52 BOT 2025","","notifications\TC004.spec.ts","",""
"","23908","TC023: Verify work package move to other project","firefox","Mon Nov 03 23:58:05 BOT 2025","failed","Mon Nov 03 23:58:29 BOT 2025","","work_packages\TC023.spec.ts","",""
"","60003","TC011: Verify that a notification can set a reminder","chromium","Mon Nov 03 23:56:53 BOT 2025","broken","Mon Nov 03 23:57:53 BOT 2025","Reminder Creation and Cleanup (TC011)","notifications\TC011.spec.ts","",""
"","5176","TC021: Verify work package creation with valid values from PACKAGE table","webkit","Mon Nov 03 23:58:57 BOT 2025","failed","Mon Nov 03 23:59:02 BOT 2025","","work_packages\TC021.spec.ts","",""
"","7836","TC017: Verify project search shows the matching project","firefox","Mon Nov 03 23:57:55 BOT 2025","passed","Mon Nov 03 23:58:02 BOT 2025","","projects\TC017.spec.ts","",""
"","5208","TC025: Verify work package PDF download","firefox","Mon Nov 03 23:58:08 BOT 2025","failed","Mon Nov 03 23:58:13 BOT 2025","","work_packages\TC025.spec.ts","",""
"","8654","TC019: Verify searching a non-existent project returns no matches","firefox","Mon Nov 03 23:57:57 BOT 2025","failed","Mon Nov 03 23:58:06 BOT 2025","","projects\TC019.spec.ts","",""
"","5172","TC001: Verify login with invalid account","webkit","Mon Nov 03 23:58:10 BOT 2025","failed","Mon Nov 03 23:58:15 BOT 2025","","login\TC001.spec.ts","",""
"","10575","TC019: Verify searching a non-existent project returns no matches","webkit","Mon Nov 03 23:58:51 BOT 2025","failed","Mon Nov 03 23:59:01 BOT 2025","","projects\TC019.spec.ts","",""
"","5229","TC021: Verify work package creation with valid values from PACKAGE table","firefox","Mon Nov 03 23:58:03 BOT 2025","failed","Mon Nov 03 23:58:09 BOT 2025","","work_packages\TC021.spec.ts","",""
"","19797","TC023: Verify work package move to other project","chromium","Mon Nov 03 23:57:13 BOT 2025","passed","Mon Nov 03 23:57:32 BOT 2025","","work_packages\TC023.spec.ts","",""
"","7613","TC015: Verify that projects list is accessible and displays projects","firefox","Mon Nov 03 23:57:54 BOT 2025","passed","Mon Nov 03 23:58:02 BOT 2025","","projects\TC015.spec.ts","",""
"","16230","TC006 Verify one-time meeting creation and deletion","chromium","Mon Nov 03 23:56:41 BOT 2025","failed","Mon Nov 03 23:56:58 BOT 2025","","meetings\TC006.spec.ts","",""
"","30179","TC007 Verify recurring meeting creation and deletion","firefox","Mon Nov 03 23:57:21 BOT 2025","broken","Mon Nov 03 23:57:51 BOT 2025","","meetings\TC007.spec.ts","",""
"","4564","TC001: Verify login with invalid account","firefox","Mon Nov 03 23:57:16 BOT 2025","passed","Mon Nov 03 23:57:21 BOT 2025","","login\TC001.spec.ts","",""
"","11732","TC010: Verify a comment can be posted in the activity of the notification","webkit","Mon Nov 03 23:58:31 BOT 2025","passed","Mon Nov 03 23:58:43 BOT 2025","","notifications\TC010.spec.ts","",""
"","9232","TC016: Verify that clicking on a project navigates to the project page","webkit","Mon Nov 03 23:58:43 BOT 2025","passed","Mon Nov 03 23:58:52 BOT 2025","","projects\TC016.spec.ts","",""
"","11403","TC008 Verify cancel button works correctly in one-time meeting creation","chromium","Mon Nov 03 23:56:41 BOT 2025","failed","Mon Nov 03 23:56:53 BOT 2025","","meetings\TC008.spec.ts","",""
"","11353","TC012 Verify cancel button works correctly in recurring meeting creation","firefox","Mon Nov 03 23:57:30 BOT 2025","failed","Mon Nov 03 23:57:42 BOT 2025","","meetings\TC012.spec.ts","",""
"","60015","TC003: Verify that a tag in a notification can be updated successfully","webkit","Mon Nov 03 23:58:26 BOT 2025","broken","Mon Nov 03 23:59:26 BOT 2025","Tag Update and Cleanup (TC003)","notifications\TC003.spec.ts","",""
"","12696","TC012 Verify cancel button works correctly in recurring meeting creation","webkit","Mon Nov 03 23:58:12 BOT 2025","failed","Mon Nov 03 23:58:25 BOT 2025","","meetings\TC012.spec.ts","",""
"","18689","TC007 Verify recurring meeting creation and deletion","webkit","Mon Nov 03 23:58:10 BOT 2025","failed","Mon Nov 03 23:58:29 BOT 2025","","meetings\TC007.spec.ts","",""
"","15389","TC006 Verify one-time meeting creation and deletion","firefox","Mon Nov 03 23:57:19 BOT 2025","failed","Mon Nov 03 23:57:34 BOT 2025","","meetings\TC006.spec.ts","",""
"","17125","TC014 Verify error messages are displayed when recurring empty fields are submitted","webkit","Mon Nov 03 23:58:16 BOT 2025","failed","Mon Nov 03 23:58:34 BOT 2025","","meetings\TC014.spec.ts","",""
"","10005","TC010: Verify a comment can be posted in the activity of the notification","chromium","Mon Nov 03 23:56:54 BOT 2025","passed","Mon Nov 03 23:57:04 BOT 2025","","notifications\TC010.spec.ts","",""
"","2696","TC020: Verify unauthenticated access to a project URL redirects to login","chromium","Mon Nov 03 23:57:05 BOT 2025","passed","Mon Nov 03 23:57:07 BOT 2025","","projects\TC020.spec.ts","",""
"","60018","TC011: Verify that a notification can set a reminder","webkit","Mon Nov 03 23:58:35 BOT 2025","broken","Mon Nov 03 23:59:35 BOT 2025","Reminder Creation and Cleanup (TC011)","notifications\TC011.spec.ts","",""
"","5231","TC022: Verify failed work package creation with empty values","firefox","Mon Nov 03 23:58:03 BOT 2025","failed","Mon Nov 03 23:58:09 BOT 2025","","work_packages\TC022.spec.ts","",""
"","13955","TC007 Verify recurring meeting creation and deletion","chromium","Mon Nov 03 23:56:41 BOT 2025","failed","Mon Nov 03 23:56:55 BOT 2025","","meetings\TC007.spec.ts","",""
"","30091","TC004: Verify that priority in a notification can be updated successfully","webkit","Mon Nov 03 23:58:28 BOT 2025","broken","Mon Nov 03 23:58:58 BOT 2025","","notifications\TC004.spec.ts","",""
"","9183","TC013 Verify error messages are displayed when one-time empty fields are submitted","firefox","Mon Nov 03 23:57:32 BOT 2025","failed","Mon Nov 03 23:57:41 BOT 2025","","meetings\TC013.spec.ts","",""
"","3622","TC020: Verify unauthenticated access to a project URL redirects to login","firefox","Mon Nov 03 23:58:00 BOT 2025","passed","Mon Nov 03 23:58:03 BOT 2025","","projects\TC020.spec.ts","",""
"","8457","TC015: Verify that projects list is accessible and displays projects","webkit","Mon Nov 03 23:58:42 BOT 2025","failed","Mon Nov 03 23:58:50 BOT 2025","","projects\TC015.spec.ts","",""
"","8451","TC017: Verify project search shows the matching project","webkit","Mon Nov 03 23:58:43 BOT 2025","failed","Mon Nov 03 23:58:51 BOT 2025","","projects\TC017.spec.ts","",""
"","5058","TC022: Verify failed work package creation with empty values","chromium","Mon Nov 03 23:57:10 BOT 2025","failed","Mon Nov 03 23:57:15 BOT 2025","","work_packages\TC022.spec.ts","",""
"","18498","TC024: Verify work package delete","firefox","Mon Nov 03 23:58:08 BOT 2025","passed","Mon Nov 03 23:58:26 BOT 2025","","work_packages\TC024.spec.ts","",""
"","19574","TC024: Verify work package delete","webkit","Mon Nov 03 23:59:03 BOT 2025","passed","Mon Nov 03 23:59:22 BOT 2025","","work_packages\TC024.spec.ts","",""
"","30110","TC013 Verify error messages are displayed when one-time empty fields are submitted","webkit","Mon Nov 03 23:58:15 BOT 2025","broken","Mon Nov 03 23:58:45 BOT 2025","","meetings\TC013.spec.ts","",""
"","9641","TC014 Verify error messages are displayed when recurring empty fields are submitted","firefox","Mon Nov 03 23:57:33 BOT 2025","failed","Mon Nov 03 23:57:43 BOT 2025","","meetings\TC014.spec.ts","",""
"","15837","TC024: Verify work package delete","chromium","Mon Nov 03 23:57:13 BOT 2025","passed","Mon Nov 03 23:57:29 BOT 2025","","work_packages\TC024.spec.ts","",""
"","5558","TC015: Verify that projects list is accessible and displays projects","chromium","Mon Nov 03 23:56:56 BOT 2025","passed","Mon Nov 03 23:57:02 BOT 2025","","projects\TC015.spec.ts","",""
"","8485","TC018: Verify back navigation returns to projects list","firefox","Mon Nov 03 23:57:55 BOT 2025","failed","Mon Nov 03 23:58:04 BOT 2025","","projects\TC018.spec.ts","",""
"","44424","TC005: Verify that project phase in a notification can be updated successfully","webkit","Mon Nov 03 23:58:29 BOT 2025","broken","Mon Nov 03 23:59:13 BOT 2025","Project Phase Notifications Tests","notifications\TC005.spec.ts","",""
"","7533","TC001: Verify login with invalid account","chromium","Mon Nov 03 23:56:41 BOT 2025","passed","Mon Nov 03 23:56:49 BOT 2025","","login\TC001.spec.ts","",""
"","16148","TC011: Verify that a notification can set a reminder","firefox","Mon Nov 03 23:57:53 BOT 2025","passed","Mon Nov 03 23:58:09 BOT 2025","Reminder Creation and Cleanup (TC011)","notifications\TC011.spec.ts","",""
"","24983","TC023: Verify work package move to other project","webkit","Mon Nov 03 23:59:01 BOT 2025","failed","Mon Nov 03 23:59:26 BOT 2025","","work_packages\TC023.spec.ts","",""
"","3553","TC020: Verify unauthenticated access to a project URL redirects to login","webkit","Mon Nov 03 23:58:52 BOT 2025","passed","Mon Nov 03 23:58:56 BOT 2025","","projects\TC020.spec.ts","",""
